timestamp,Title,Original Price,Discounted Price,Shipping Details,url
2025-11-09 22:54:46,"Logitech G Astro A50 X Wireless Gaming Headset + Base Station for PS5, Xbox, PC",$399.99,$230.00,N/A,https://www.ebay.com/itm/167051732411?_trkparms=5373%3A5000006400%7C5374%3ATech%7C5079%3A5000006401
2025-11-09 22:54:47,N/A,N/A,$230.00,N/A,N/A
2025-11-09 22:54:47,Valve Steam Deck OLED Handheld Console 1TB - Excellent w/ Case + Charger + Dock,N/A,$659.99,N/A,https://www.ebay.com/itm/296446740413?_trkparms=5373%3A5000006400%7C5374%3ATech%7C5079%3A5000006401
2025-11-09 22:54:57,N/A,N/A,$659.99,N/A,N/A
2025-11-09 22:54:57,Apple iPad 7th Generation (2019) - WiFi Only 32GB - Good,$199.00,$92.00,N/A,https://www.ebay.com/itm/134018475345?_trkparms=5373%3A5000006400%7C5374%3ATech%7C5079%3A5000006415
2025-11-09 22:54:58,N/A,N/A,$92.00,N/A,N/A
2025-11-09 22:54:58,"Apple iPad Pro 13"" M4 Chip 2024, 256GB, Wi-Fi - VERY GOOD - 1 YEAR WARRANTY",N/A,$818.66,N/A,https://www.ebay.com/itm/176905331222?_trkparms=5373%3A5000006400%7C5374%3ATech%7C5079%3A5000006415
2025-11-09 22:54:59,N/A,N/A,$818.66,N/A,N/A
2025-11-09 22:54:59,"Apple iPad 9 (2021) 10.2"" 64GB 256GB Space Gray Silver WiFi or Cellular - Good",N/A,$170.99,N/A,https://www.ebay.com/itm/165337813141?_trkparms=5373%3A5000006400%7C5374%3ATech%7C5079%3A5000006415
2025-11-09 22:55:00,N/A,N/A,$170.99,N/A,N/A
2025-11-09 22:55:00,"Apple 11"" Liquid Retina Touchscreen iPad Air M2 Chip 128GB Wi-Fi Purple 3M673LL/",$499.99,$399.99,N/A,https://www.ebay.com/itm/236260570005?_trkparms=5373%3A5000006400%7C5374%3ATech%7C5079%3A5000006415
2025-11-09 22:55:01,N/A,N/A,$399.99,N/A,N/A
2025-11-09 22:55:01,"Apple 10.9"" iPad 10th Gen 256GB Wi-Fi Only 12MP camera Wi-Fi 6, Silver MPQ83LL/A",$549.99,$398.99,N/A,https://www.ebay.com/itm/235987530798?_trkparms=5373%3A5000006400%7C5374%3ATech%7C5079%3A5000006415
2025-11-09 22:55:12,N/A,N/A,$398.99,N/A,N/A
2025-11-09 22:55:12,Samsung Galaxy Buds2 Pro R510 - Good,N/A,$39.99,N/A,https://www.ebay.com/itm/256411723549?_trkparms=5373%3A5000006400%7C5374%3ATech%7C5079%3A5000006419
2025-11-09 22:55:13,N/A,N/A,$39.99,N/A,N/A
2025-11-09 22:55:13,Soundcore Life Q20 Wireless Over Ear Headphones ANC Hi-Res Bass 40Hr Play|Refurb,N/A,$29.99,N/A,https://www.ebay.com/itm/384780174468?_trkparms=5373%3A5000006400%7C5374%3ATech%7C5079%3A5000006419
2025-11-09 22:55:14,N/A,N/A,$29.99,N/A,N/A
2025-11-09 22:55:14,Samsung Galaxy Buds+ R175 - Excellent,N/A,$39.99,N/A,https://www.ebay.com/itm/255881948076?_trkparms=5373%3A5000006400%7C5374%3ATech%7C5079%3A5000006419
2025-11-09 22:55:15,N/A,N/A,$39.99,N/A,N/A
2025-11-09 22:55:15,Anker 347 Portable Charger 30W USB-C 4-Ports Power Bank 40000mAh Battery |Refurb,$79.99,$49.99,N/A,https://www.ebay.com/itm/386857348130?_trkparms=5373%3A5000006400%7C5374%3ATech%7C5079%3A5000006419
2025-11-09 22:55:16,N/A,N/A,$49.99,N/A,N/A
2025-11-09 22:55:16,Soundcore Liberty 4 SE True Wireless Earbuds Heart Rate Sensor Noise Cancelling,$149.99,$59.99,N/A,https://www.ebay.com/itm/385693088002?_trkparms=5373%3A5000006400%7C5374%3ATech%7C5079%3A5000006419
2025-11-09 22:55:17,N/A,N/A,$59.99,N/A,N/A
2025-11-09 22:55:17,"WD Ultrastar DC HC530 14TB SATA 6G 3.5"" 7200RPM Enterprise HDD - WUH721414ALE604",$199.99,$179.99,N/A,https://www.ebay.com/itm/155672990441?_trkparms=5373%3A5000006400%7C5374%3ATech%7C5079%3A5000006421
2025-11-09 22:55:18,N/A,N/A,$179.99,N/A,N/A
2025-11-09 22:55:18,Recertified Western Digital 2TB WD Elements SE - RWDBEPK0020BBK-WESN,$79.99,$56.24,N/A,https://www.ebay.com/itm/296201483112?_trkparms=5373%3A5000006400%7C5374%3ATech%7C5079%3A5000006421
2025-11-09 22:55:19,N/A,N/A,$56.24,N/A,N/A
2025-11-09 22:55:19,"Toshiba MG08ACP16TE 16TB 512MB 7200RPM SATA 6.0Gb/s 3.5"" Internal Enterprise HDD",$239.99,$199.99,N/A,https://www.ebay.com/itm/167745461033?_trkparms=5373%3A5000006400%7C5374%3ATech%7C5079%3A5000006421
2025-11-09 22:55:29,N/A,N/A,$199.99,N/A,N/A
2025-11-09 22:55:29,Recertified 4TB WD My Passport Portable External HDD - RWDBPKJ0040BBK-WESN,$124.99,$93.74,N/A,https://www.ebay.com/itm/297589953870?_trkparms=5373%3A5000006400%7C5374%3ATech%7C5079%3A5000006421
2025-11-09 22:55:30,N/A,N/A,$93.74,N/A,N/A
2025-11-09 22:55:30,"Recertified 2TB WD My Passport Portable Hard Drive,Black - RWDBYVG0020BBK-WESN",$84.99,$59.99,N/A,https://www.ebay.com/itm/296930928517?_trkparms=5373%3A5000006400%7C5374%3ATech%7C5079%3A5000006421
2025-11-09 22:55:40,N/A,N/A,$59.99,N/A,N/A
2025-11-09 22:55:40,Skullcandy HESH EVO Wireless Over-Ear Headset (Certified Refurbished)-BLACK,$104.99,$39.99,N/A,https://www.ebay.com/itm/265114617809?_trkparms=5373%3A5000006400%7C5374%3ATech%7C5079%3A5000006403
2025-11-09 22:55:41,N/A,N/A,$39.99,N/A,N/A
2025-11-09 22:55:41,"Bose QuietComfort Ultra Noise Cancelling Headphones, Certified Refurbished",N/A,$349.00,N/A,https://www.ebay.com/itm/166708867898?_trkparms=5373%3A5000006400%7C5374%3ATech%7C5079%3A5000006403
2025-11-09 22:55:43,N/A,N/A,$349.00,N/A,N/A
2025-11-09 22:55:43,"Bose QuietComfort Ultra Noise Cancelling Earbuds, Certified Refurbished",N/A,$211.00,N/A,https://www.ebay.com/itm/186465664855?_trkparms=5373%3A5000006400%7C5374%3ATech%7C5079%3A5000006403
2025-11-09 22:55:44,N/A,N/A,$211.00,N/A,N/A
2025-11-09 22:55:44,"Bose QuietComfort Noise Cancelling Headphones, Certified Refurbished",N/A,$224.00,N/A,https://www.ebay.com/itm/166819315978?_trkparms=5373%3A5000006400%7C5374%3ATech%7C5079%3A5000006403
2025-11-09 22:55:45,N/A,N/A,$224.00,N/A,N/A
2025-11-09 22:55:45,"Bose Ultra Open Earbuds, Certified Refurbished",N/A,$224.00,N/A,https://www.ebay.com/itm/186628375702?_trkparms=5373%3A5000006400%7C5374%3ATech%7C5079%3A5000006403
2025-11-09 22:55:46,N/A,N/A,$224.00,N/A,N/A
2025-11-09 22:55:46,HP Color LaserJet Enterprise M553n Laser Printer B5L24A,N/A,$399.99,N/A,https://www.ebay.com/itm/174533956058?_trkparms=5373%3A5000006400%7C5374%3ATech%7C5079%3A5000006417
2025-11-09 22:55:47,N/A,N/A,$399.99,N/A,N/A
2025-11-09 22:55:47,HP LaserJet P4015N Monochrome Network Laser Printer CB509A,N/A,$229.99,N/A,https://www.ebay.com/itm/174481332309?_trkparms=5373%3A5000006400%7C5374%3ATech%7C5079%3A5000006417
2025-11-09 22:55:58,N/A,N/A,$229.99,N/A,N/A
2025-11-09 22:55:58,HP HP-OJPRO9128E-RB OfficeJet Pro 9128e All-in-One Printer-Certified Refurbished,$169.99,$128.79,N/A,https://www.ebay.com/itm/135849081171?_trkparms=5373%3A5000006400%7C5374%3ATech%7C5079%3A5000006417
2025-11-09 22:56:08,N/A,N/A,$128.79,N/A,N/A
2025-11-09 22:56:08,HP Color LaserJet Enterprise M480f Multifunction Duplex Printer (3QA55A) white,"$1,356.99",$874.95,N/A,https://www.ebay.com/itm/197579402723?_trkparms=5373%3A5000006400%7C5374%3ATech%7C5079%3A5000006417
2025-11-09 22:56:09,N/A,N/A,$874.95,N/A,N/A
2025-11-09 22:56:09,Canon Color imageCLASS LBP632Cdw Wireless Laser Printer 22 PPM (Refurbished),$199.95,$169.95,N/A,https://www.ebay.com/itm/376306949652?_trkparms=5373%3A5000006400%7C5374%3ATech%7C5079%3A5000006417
2025-11-09 22:56:10,N/A,N/A,$169.95,N/A,N/A
2025-11-09 22:56:10,REDTIGER 4K Dash Cam Front and Rear Dual Dash Camera WIFI&GPS With 32GB SD Card,$129.49,$64.49,N/A,https://www.ebay.com/itm/285048811560?_trkparms=5373%3A5000006400%7C5374%3ATech%7C5079%3A5000006432
2025-11-09 22:56:20,N/A,N/A,$64.49,N/A,N/A
2025-11-09 22:56:20,Cobra RAD 480i Radar/Laser Detector Updateable BLUETOOTH Certified Refurbished,$149.99,$119.99,N/A,https://www.ebay.com/itm/114899621461?_trkparms=5373%3A5000006400%7C5374%3ATech%7C5079%3A5000006432
2025-11-09 22:56:21,N/A,N/A,$119.99,N/A,N/A
2025-11-09 22:56:21,REDTIGER 4K Dual Dash Camera Front and Rear Dash Cam WIFI&GPS With 32GB SD Card,N/A,$64.49,N/A,https://www.ebay.com/itm/285048811662?_trkparms=5373%3A5000006400%7C5374%3ATech%7C5079%3A5000006432
2025-11-09 22:56:22,N/A,N/A,$64.49,N/A,N/A
2025-11-09 22:56:22,"REDTIGER F17 4K Dash Cam 5G WiFi 3 Channel ,Front and Rear Inside, 64GB SD Card",N/A,$89.89,N/A,https://www.ebay.com/itm/285949275839?_trkparms=5373%3A5000006400%7C5374%3ATech%7C5079%3A5000006432
2025-11-09 22:56:23,N/A,N/A,$89.89,N/A,N/A
2025-11-09 22:56:23,"Pioneer DMH-W3050NEX 6.8"" Car Stereo Receiver w/ Apple CarPlay & Android Auto",$449.99,$376.00,N/A,https://www.ebay.com/itm/156739553342?_trkparms=5373%3A5000006400%7C5374%3ATech%7C5079%3A5000006432
2025-11-09 22:56:24,N/A,N/A,$376.00,N/A,N/A
2025-11-09 22:56:24,Tamron 35-150mm F/2-2.8 Di III VXD for Sony E-Mount Full Frame/APS-C,"$2,565.99","$1,654.95",N/A,https://www.ebay.com/itm/195545407606?_trkparms=5373%3A5000006400%7C5374%3ATech%7C5079%3A5000006425
2025-11-09 22:56:34,N/A,N/A,"$1,654.95",N/A,N/A
